threshold,n_high,coverage,accuracy,micro_precision,micro_recall,micro_f1,weighted_precision,weighted_recall,weighted_f1,macro_precision,macro_recall,macro_f1
0.5,694455,1.0,0.9246459453816303,0.9246459453816303,0.9246459453816303,0.9246459453816303,0.9243966651453343,0.9246459453816303,0.9243129173788501,0.8769575534421906,0.7879464440398037,0.8212370874281097
0.51,694455,1.0,0.9246459453816303,0.9246459453816303,0.9246459453816303,0.9246459453816303,0.9243966651453343,0.9246459453816303,0.9243129173788501,0.8769575534421906,0.7879464440398037,0.8212370874281097
0.52,694455,1.0,0.9246459453816303,0.9246459453816303,0.9246459453816303,0.9246459453816303,0.9243966651453343,0.9246459453816303,0.9243129173788501,0.8769575534421906,0.7879464440398037,0.8212370874281097
0.53,694455,1.0,0.9246459453816303,0.9246459453816303,0.9246459453816303,0.9246459453816303,0.9243966651453343,0.9246459453816303,0.9243129173788501,0.8769575534421906,0.7879464440398037,0.8212370874281097
0.54,694455,1.0,0.9246459453816303,0.9246459453816303,0.9246459453816303,0.9246459453816303,0.9243966651453343,0.9246459453816303,0.9243129173788501,0.8769575534421906,0.7879464440398037,0.8212370874281097
0.55,694454,0.9999985600218877,0.9246458368732846,0.9246458368732846,0.9246458368732846,0.9246458368732846,0.924396555417508,0.9246458368732846,0.9243128079434497,0.8769575202019502,0.7879464081566724,0.8212370528559657
0.56,694454,0.9999985600218877,0.9246458368732846,0.9246458368732846,0.9246458368732846,0.9246458368732846,0.924396555417508,0.9246458368732846,0.9243128079434497,0.8769575202019502,0.7879464081566724,0.8212370528559657
0.57,694451,0.9999942400875507,0.924648391319186,0.924648391319186,0.924648391319186,0.924648391319186,0.9243991150280297,0.924648391319186,0.9243153090258476,0.8769587160057769,0.7879465624299674,0.8212376975958339
0.58,694450,0.9999928001094384,0.9246482828137375,0.9246482828137375,0.9246482828137375,0.9246482828137375,0.9243989914298918,0.9246482828137375,0.9243151915917969,0.8769586866481375,0.7879465250480789,0.821237663925926
0.59,694445,0.9999856002188767,0.9246535002771997,0.9246535002771997,0.9246535002771997,0.9246535002771997,0.9244042662260055,0.9246535002771997,0.9243204360706799,0.8769595187560781,0.7879478135324718,0.8212387412206007
0.6,694439,0.9999769603502027,0.9246600493347867,0.9246600493347867,0.9246600493347867,0.9246600493347867,0.9244105875704118,0.9246600493347867,0.924326891188625,0.8769605548291719,0.7882900947375582,0.8214175245899746
0.61,694432,0.9999668805034163,0.9246664900235012,0.9246664900235012,0.9246664900235012,0.9246664900235012,0.9244168998688939,0.9246664900235012,0.9243336413890144,0.8770591765889243,0.788391908193265,0.8215687311739122
0.62,694419,0.999948160787956,0.9246766001506295,0.9246766001506295,0.9246766001506295,0.9246766001506295,0.924427295141419,0.9246766001506295,0.9243438983558482,0.8770731561395658,0.7886476353847742,0.821715575303801
0.63,694405,0.9999280010943834,0.9246851621172083,0.9246851621172083,0.9246851621172083,0.9246851621172083,0.9244361113590359,0.9246851621172083,0.9243526576379953,0.8770803756111211,0.7886514037578357,0.8217210448559196
0.64,694382,0.9998948815977997,0.9247042694079052,0.9247042694079052,0.9247042694079052,0.9247042694079052,0.9244558062665414,0.9247042694079052,0.924372619676865,0.8770849005059612,0.7887263095825675,0.8217690730426502
0.65,694345,0.9998416024076434,0.9247362622327517,0.9247362622327517,0.9247362622327517,0.9247362622327517,0.9244888505902413,0.9247362622327517,0.9244054003830486,0.8771092412127256,0.7887845326233018,0.8218131353108314
0.66,694312,0.9997940831299365,0.9247600502367812,0.9247600502367812,0.9247600502367812,0.9247600502367812,0.9245132472414851,0.9247600502367812,0.9244296960559325,0.8771579087073063,0.7887923236256347,0.8218400224763935
0.67,694265,0.9997264041586568,0.9248010485909559,0.9248010485909559,0.9248010485909559,0.9248010485909559,0.9245530732576331,0.9248010485909559,0.9244705250012163,0.8762352591398083,0.7883917462235953,0.8212580382226166
0.68,694190,0.9996184058002319,0.9248505452397758,0.9248505452397758,0.9248505452397758,0.9248505452397758,0.9246022768039717,0.9248505452397758,0.9245198537942859,0.8762813129919621,0.7884564810798151,0.8213128105070215
0.69,694089,0.9994729680108863,0.9249419022632545,0.9249419022632545,0.9249419022632545,0.9249419022632545,0.9246955397646749,0.9249419022632545,0.9246133330691547,0.8763398814164702,0.788804580835335,0.8215197611531613
0.7,693937,0.9992540913378116,0.9250638026218518,0.9250638026218518,0.9250638026218518,0.9250638026218518,0.9248189459384023,0.9250638026218518,0.9247368535051359,0.8763650630396451,0.7901991053000644,0.8225188217888292
0.71,693738,0.9989675356934574,0.925206634204844,0.925206634204844,0.925206634204844,0.925206634204844,0.9249625630945317,0.925206634204844,0.9248808570795987,0.8765869474907437,0.7904977519706551,0.8227721913936783
0.72,693462,0.9985701017344536,0.9254220130302742,0.9254220130302742,0.9254220130302742,0.9254220130302742,0.9251829170934109,0.9254220130302742,0.9250991735824167,0.877755235086004,0.7905217066680139,0.8227916949531967
0.73,693079,0.9980185901174302,0.9257025533885748,0.9257025533885748,0.9257025533885748,0.9257025533885748,0.9254689685132435,0.9257025533885748,0.9253847809655,0.8780467517889187,0.7917644466739024,0.8237902077527623
0.74,692581,0.9973014810174885,0.9260664095607589,0.9260664095607589,0.9260664095607589,0.9260664095607589,0.9258336691860183,0.9260664095607589,0.9257507950164117,0.8782028680416701,0.7920309590542098,0.8240126076005485
0.75,691988,0.9964475739968752,0.9264813840702439,0.9264813840702439,0.9264813840702439,0.9264813840702439,0.9262540436909108,0.9264813840702439,0.9261719321348106,0.8787129413916765,0.7932465342555792,0.8250894989628833
0.76,691158,0.9952523921636391,0.9270383906429499,0.9270383906429499,0.9270383906429499,0.9270383906429499,0.9268193011366512,0.9270383906429499,0.9267367233978572,0.8791280592266939,0.7959563976915969,0.8270921455059335
